[2018-12-23 15:29:54] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:32:05] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom130.html Exc..., try again after 10s
[2018-12-23 15:32:05] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:33:02] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom132.html Exc..., try again after 10s
[2018-12-23 15:33:02] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:33:57] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom132.html Exc..., try again after 10s
[2018-12-23 15:33:57] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:34:55] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom106.html Exc..., try again after 10s
[2018-12-23 15:34:55] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:35:41] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom106.html Exc..., try again after 10s
[2018-12-23 15:35:41] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:36:15] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom108.html Exc..., try again after 10s
[2018-12-23 15:36:15] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:37:14] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom108.html Exc..., try again after 10s
[2018-12-23 15:37:14] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:37:55] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom110.html Exc..., try again after 10s
[2018-12-23 15:37:55] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:39:01] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom110.html Exc..., try again after 10s
[2018-12-23 15:39:01] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:39:34] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom112.html Exc..., try again after 10s
[2018-12-23 15:39:34] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:40:18] [ERROR] https://dblp.uni-trier.de/db/journals/comcom/comcom112.html Exc..., try again after 10s
[2018-12-23 15:40:18] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:41:51] [ERROR] http://dblp.uni-trier.de/db/journals/joc/ Exc..., try again after 10s
[2018-12-23 15:41:51] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:43:29] [ERROR] http://dblp.uni-trier.de/db/journals/compsec/ Exc..., try again after 10s
[2018-12-23 15:43:29] [ERROR] HTTPConnectionPool(host='dblp.uni-trier.de', port=80): Read timed out. (read timeout=20)
[2018-12-23 15:44:31] [ERROR] https://dblp.uni-trier.de/db/journals/compsec/compsec70.html Exc..., try again after 10s
[2018-12-23 15:44:31] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
